Player,Team,Age,Restricted Area FGM,Restricted Area FGA,Restricted Area FG%,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3. FGM,Left Corner 3. FGA,Left Corner 3. FG%,Right Corner 3. FGM,Right Corner 3. FGA,Right Corner 3. FG%,Corner 3 FGM,Corner 3 FGA,Corner 3 FG%,Above the Break 3. FGM,Above the Break 3. FGA,Above the Break 3. FG%
AJ Green,MIL,25,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.6,1.2,50.0,0.6,1.2,50.0,1.2,2.4,50.0,2.4,4.6,52.2
Aaron Gordon,DEN,29,2.9,5.0,58.6,0.9,1.6,52.2,0.4,1.1,37.5,0.4,0.9,41.7,0.1,0.6,11.1,0.4,1.5,28.6,1.1,2.6,43.2
Aaron Holiday,HOU,28,0.0,0.3,0.0,0.7,0.7,100.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,66.7
Aaron Nesmith,IND,25,0.8,1.7,50.0,0.5,1.3,40.0,0.4,1.0,40.9,0.6,1.0,56.5,0.5,1.2,42.9,1.1,2.2,49.0,1.5,3.1,49.3
Aaron Wiggins,OKC,26,0.6,1.1,54.2,0.4,1.0,38.1,0.0,0.2,20.0,0.2,0.5,44.4,0.2,0.4,57.1,0.4,0.8,50.0,0.8,2.4,32.7
Ajay Mitchell,OKC,23,0.3,0.8,42.9,0.6,1.2,53.8,0.1,0.2,50.0,0.3,0.5,50.0,0.3,0.6,40.0,0.4,1.0,44.4,0.1,0.4,25.0
Al Horford,BOS,39,1.0,1.3,78.6,0.4,1.4,26.7,0.5,0.7,62.5,0.1,0.4,25.0,0.3,0.6,50.0,0.4,0.9,40.0,0.9,2.2,41.7
Alec Burks,MIA,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0
Alex Caruso,OKC,31,1.2,2.3,50.0,0.3,0.5,54.5,0.1,0.2,40.0,0.3,0.9,35.0,0.3,0.8,35.3,0.6,1.6,35.1,1.0,2.3,45.3
Alex Len,LAL,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
Alperen Sengun,HOU,22,3.4,5.4,63.2,4.3,9.9,43.5,0.3,2.3,12.5,0.1,0.3,50.0,0.0,0.0,0.0,0.1,0.3,50.0,0.3,0.9,33.3
Amen Thompson,HOU,22,3.1,4.7,66.7,2.1,5.6,38.5,0.6,1.3,44.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3,50.0
Andre Jackson Jr.,MIL,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Nembhard,IND,25,1.0,1.7,57.5,0.5,1.5,31.4,1.3,2.7,50.0,0.2,0.5,36.4,0.3,0.7,50.0,0.5,1.2,44.4,1.2,2.6,47.5
Andrew Wiggins,MIA,30,0.5,1.3,40.0,1.0,2.3,44.4,0.8,2.3,33.3,0.3,0.8,33.3,0.3,0.3,100,0.5,1.0,50.0,1.3,4.0,31.3
Anthony Black,ORL,21,1.8,2.8,64.3,0.4,1.4,28.6,0.4,0.6,66.7,0.2,0.4,50.0,0.0,0.3,0.0,0.2,0.6,33.3,0.2,2.0,10.0
Anthony Edwards,MIN,23,3.7,6.4,58.3,1.6,2.8,57.1,0.6,2.0,30.0,0.2,0.6,33.3,0.3,0.4,66.7,0.5,1.0,46.7,2.6,7.5,34.8
Ariel Hukporti,NYK,23,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
Ausar Thompson,DET,22,3.7,5.0,73.3,0.3,1.5,22.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Austin Reaves,LAL,27,1.4,2.0,70.0,1.2,2.6,46.2,0.4,0.6,66.7,0.6,1.2,50.0,0.4,1.0,40.0,1.0,2.2,45.5,2.0,7.2,27.8
Bam Adebayo,MIA,27,1.8,2.3,77.8,2.8,5.5,50.0,0.8,3.0,25.0,1.0,2.3,44.4,0.0,0.5,0.0,1.0,2.8,36.4,0.8,2.5,30.0
Baylor Scheierman,BOS,24,0.3,0.3,100.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,1.0,50.0
Ben Sheppard,IND,23,0.1,0.1,66.7,0.1,0.3,50.0,0.2,0.2,100.0,0.0,0.4,0.0,0.4,0.8,50.0,0.4,1.1,35.0,0.4,0.9,44.4
Ben Simmons,LAC,28,0.4,0.6,66.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bennedict Mathurin,IND,23,1.6,2.5,65.4,0.5,1.1,41.7,0.3,0.5,50.0,0.1,0.3,40.0,0.3,0.7,46.2,0.4,0.8,44.4,0.5,1.8,25.0
Bobby Portis,MIL,30,1.6,2.8,57.1,0.8,1.6,50.0,1.6,3.6,44.4,0.2,1.0,20.0,0.4,1.0,40.0,0.6,2.0,30.0,1.4,3.6,38.9
Bogdan Bogdanović,LAC,32,0.6,0.9,66.7,0.6,1.4,40.0,0.1,0.6,25.0,0.0,0.0,0.0,0.2,0.8,25.0,0.1,0.6,25.0,0.9,2.7,31.6
Brandin Podziemski,GSW,22,0.8,1.4,52.9,1.1,2.7,40.6,0.3,1.3,25.0,0.2,0.7,25.0,0.1,0.5,16.7,0.3,1.2,21.4,1.6,4.3,36.5
Braxton Key,GSW,28,0.3,2.0,16.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Bronny James,LAL,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,1.0,0.0
Brook Lopez,MIL,37,0.6,0.8,75.0,0.0,0.4,0.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.0,26.7
Buddy Hield,GSW,32,1.0,2.0,50.0,0.3,1.0,25.0,0.3,1.0,33.3,0.3,0.8,40.0,0.2,0.7,25.0,0.5,1.5,33.3,2.3,4.9,45.8
Cade Cunningham,DET,23,3.5,6.5,53.8,3.3,7.2,46.5,1.5,3.2,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.7,17.9
Caleb Houstan,ORL,22,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.3,0.5,50.0,0.0,0.3,0.0,0.2,0.6,33.3,0.2,1.2,16.7
Cam Christie,LAC,19,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,50.0
Cam Whitmore,HOU,20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Cameron Payne,NYK,30,0.1,0.3,50.0,0.2,0.6,33.3,0.1,0.2,66.7,0.1,0.3,50.0,0.0,0.2,0.0,0.1,0.3,25.0,0.3,1.2,23.5
Cason Wallace,OKC,21,1.0,1.3,73.3,0.3,1.0,30.4,0.1,0.2,50.0,0.1,0.6,21.4,0.3,0.7,50.0,0.4,1.2,35.7,0.4,1.5,29.4
Chet Holmgren,OKC,23,3.2,4.8,65.8,0.6,1.7,35.9,0.4,1.1,36.0,0.2,0.7,25.0,0.2,0.4,44.4,0.3,1.1,32.0,0.8,2.9,28.8
Chris Livingston,MIL,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
